Music Rehearsal Space_rank,Recording Studio_rank,name,phone,address,website,location,search_datetime,neighborhood,email,extra_phones,social_links,categories,hour_category,other_info,detailed_hours,slogan,general_info,yp_url,space_image
,17,Las Colinas Show Business Studios,(214) 747-7464,"350 E Royal Ln Ste 123, Irving, TX 75039",http://www.drnshowbusiness.com,"Irving, TX",2024-01-23 20:47:10,,lascolinasshowbusinessstudios@gmail.com,1-800-one-show:  (800) 663-7469,,"Party & Event Planners, Caterers, Meeting & Event Planning Services, Party Planning Referral & Information Service, Studio Rental",Regular Hours,,"Mon - Fri: 8:00 am - 12:00 pm, Sat: 8:00 am - 12:30 pm, Sun: 8:00 am - 12:00 pm","""One Stop Show""","Event Venues & Studios, Production, Shows , Props, Design, Display, Team Building, Catering, Corporate & Public Adventure Packages, Lighting, Sound & Staging, Entertainment, Movie Sets, Iron Chef, Professional Show Costume Designs & Choreography",http://www.yellowpages.com/irving-tx/mip/las-colinas-show-business-studios-5359462,
,18,Family Mobb Enterprise,(972) 986-8033,"833 N Belt Line Rd, Irving, TX 75061",,"Irving, TX",2024-01-23 20:47:10,,,,,Studio Rental,,,,,,http://www.yellowpages.com/irving-tx/mip/family-mobb-enterprise-483328479,
,19,PCS Production Company,(972) 550-8503,"1551 Corporate Dr Ste 125, Irving, TX 75038",http://www.pcsproductions.com,"Irving, TX",2024-01-23 20:47:10,"Las Colinas, Walnut Hill Business Park",info@pcsproductions.com,Phone:  (972) 580-7649,,"Video Production Services, Audio-Visual Production Services, Motion Picture Producers & Studios, Production Companies-Film, TV, Radio, Etc, Studio Rental, Video Production Services-Commercial",Regular Hours,,Mon - Fri: 7:00 am - 6:00 pm,Building genuine relationships through high quality production.,,http://www.yellowpages.com/irving-tx/mip/pcs-production-company-14663369,https://i3.ypcdn.com/blob/f207c889d92f757f2ba5a9cd5b204f1fd592c58f_228x168_crop.jpg
,20,Audio Dawg,(972) 759-1131,"400 E Royal Ln Ste 230, Irving, TX 75039",http://www.audiodawg.com,"Irving, TX",2024-01-23 20:47:10,Las Colinas,spunky@audiodawg.com,TollFree:  (877) 933-1131,,"Studio Rental, Music Stores",Regular Hours,,Mon - Fri: 10:00 am - 6:00 pm,,,http://www.yellowpages.com/irving-tx/mip/audio-dawg-452030032,https://i4.ypcdn.com/blob/d5b0ce82b5e27ce2d93b554cf3f7e5091bda941c_228x168_crop.jpg
,21,Agora Entertainment,(972) 550-4800,"3225 Premier Dr Ste 150, Irving, TX 75063",,"Irving, TX",2024-01-23 20:47:10,"Las Colinas, Las Colinas Business Park",info@agoraentertainment.com,Phone:  (972) 756-9569,,"Motion Picture Producers & Studios, Photography & Videography, Production Companies-Film, TV, Radio, Etc, Scenery Studios, Studio Rental, Video Production Services, Video Production Services-Commercial",Regular Hours,,Mon - Fri: 10:00 am - 6:00 pm,,,http://www.yellowpages.com/irving-tx/mip/agora-entertainment-14321405,https://i2.ypcdn.com/blob/6643fae8f8e7750f1efc18b87762076e5a0a2a3e_228x168_crop.jpg
,22,Affordable Computer Repair & Technology,(972) 786-1557,"Irving, TX 75062",,"Irving, TX",2024-01-23 20:47:05,,,,,"Consumer Electronics, Computer Software & Services, Computers & Computer Equipment-Service & Repair, Electronic Equipment & Supplies-Repair & Service, Recording Studio Equipment",Regular Hours,,"Mon - Fri: 9:00 am - 7:00 pm, Sat: 9:00 am - 8:00 pm, Sun: 10:00 am - 5:00 pm",,,http://www.yellowpages.com/irving-tx/mip/affordable-computer-repair-technology-464565958,
,23,Magic Production Group,(214) 276-0001,"2424 Lacy Ln, Carrollton, TX 75006",http://www.magicproductiongroup.com,"Irving, TX",2024-01-23 20:47:10,"Valley View West Business Park, West Carrollton",sales@magicproductiongroup.com,,,"Interactive Media, Studio Rental, Video Production Services, Video Production Services-Commercial",Regular Hours,,Mon - Fri: 9:00 am - 6:00 pm,Creative Content. Superior Productions. Dynamic Events.,"Magic Production Group is an international enterprise that delivers leading-edge video productions and executes dynamic, memorable corporate events.    Our Dallas facility houses two sound stages, fully equipped post-production edit suites, a studio for HD Live Shots, and a sound recording studio for voice over and ADR work.    Both our studios are green screen equipped. Studio A is 1,100 sq. ft of flexible space, while Studio B, a more economical option, is 400 sq. ft. Whether you need to build a practical set or virtual one, these comfortable, sound-treated stages could be perfect for your production.   Our facilities also include a green room for talent, private make-up room (with shower), craft service area, producer's office, conference room, wireless internet, staging area, and loading dock.    Conveniently located near DFW International Airport, our studios make an ideal location for both local and out-of-town productions.   In addition, we offer equipment rentals and crew placement.",http://www.yellowpages.com/carrollton-tx/mip/magic-production-group-9315489,https://i4.ypcdn.com/blob/d596fedfb122701a1c7b890498c9a0741d2699a9_228x168_crop.jpg
,24,Iba,(469) 212-7165,"3124 San Sebastian Dr, Carrollton, TX 75006",http://www.iba-llc.com,"Irving, TX",2024-01-23 20:47:07,,info@iba-llc.com,,,Recording Studio Equipment,,,,,,http://www.yellowpages.com/carrollton-tx/mip/iba-565951385,
,25,Exitos Latinos Records,(972) 931-6992,"3234 Commander Dr, Carrollton, TX 75006",,"Irving, TX",2024-01-23 20:47:10,,,,,Studio Rental,,,,,,http://www.yellowpages.com/carrollton-tx/mip/exitos-latinos-records-537989115,
,26,Aidan Audio,(972) 691-0887,"1100 Lopo Rd, Flower Mound, TX 75028",,"Irving, TX",2024-01-23 20:47:10,Timber Creek,,,,Studio Rental,,,,,,http://www.yellowpages.com/flower-mound-tx/mip/aidan-audio-463463364,
,27,Patrick McGuire Recording,(817) 467-1852,"1402 Rockdale Dr, Arlington, TX 76018",http://www.pmrec.com,"Arlington, TX",2024-01-23 20:48:25,"Oakbrook, Southeast Arlington",patrickamcguire@me.com,,,Recording Service-Sound & Video,Regular Hours,"Parking: Lot, Wheelchair Accessible: Yes",Mon - Fri: 8:00 am - 5:00 pm,"Patrick McGuire Recording offers a quality, relaxed, and affordable place to record. Music recording is our primary focus. We treat you with the respect you deserve. Our goal is that you leave with your own unique sound, not ours or anyone else's.","Patrick McGuire Recording is a recording studio established in Arlington Texas in 1984 to give music artists in the Dallas / Ft. Worth ( Fort Worth ) area a quality, relaxed, and affordable place to record. At that time, Patrick, with more than 20 years experience as a working musician, saw a place in the market for a studio that catered to the special needs of the artist. Music recording is still our primary focus. We treat you with the respect you deserve. Our goal is that you leave with your sound, not ours or anyone else's. If you're proud of the work you do here, you'll return and refer others.",http://www.yellowpages.com/arlington-tx/mip/patrick-mcguire-recording-7642787,
,28,Clear Scope Media,(214) 997-3677,"705 W Jefferson St, Grand Prairie, TX 75051",http://www.clearscopemedia.com,"Arlington, TX",2024-01-23 20:48:26,Indian Hills,contact@clearscopemedia.com,Phone:  (972) 237-2654,,"Recording Service-Sound & Video, Photography & Videography, Video Production Services, Video Production Services-Commercial, Wedding Photography & Videography",Regular Hours,Parking: Lot,"Mon - Fri: 9:00 am - 6:00 pm, Sat: 10:00 am - 3:00 pm, Sun Closed",,,http://www.yellowpages.com/grand-prairie-tx/mip/clear-scope-media-468745610,
,1,Cy-Fair Music & Arts,(281) 855-8855,"7103 Glen Chase Ct, Houston, TX 77095",http://www.cyfairmusicandarts.com,"Houston, TX",2024-01-23 20:47:26,Copperfield Place,CFMusicAndArts@aol.com,,"https://www.yelp.com/biz/cy-fair-music-and-arts-houston, https://twitter.com/CyFairMusicArts, https://foursquare.com/v/cy-fair-music--arts/4c8eade2a8de224bce7c2901, https://www.facebook.com/cyfairmusicandarts","Music Schools, Acting Schools & Workshops, Adult Education, Art Instruction & Schools, Educational Services, Industrial, Technical & Trade Schools, Music Instruction-Instrumental, Music Instruction-Vocal, Musicians, Recording Service-Sound & Video",Regular Hours,"Classes Offered: Acting, Singing Lessons","Mon - Fri: 9:00 am - 8:00 pm, Sat: 9:00 am - 2:00 pm, Sun Closed",,"* Convenient class times to fit your schedule - have 2 or more students in different classes at the same time. 
* Private or group piano & voice lessons 
* Regular, fun, low-pressure recitals 
 
HOURS OF OPERATION: 
 
Daytime, Evening, Weekend Classes Available.",http://www.yellowpages.com/houston-tx/mip/cy-fair-music-arts-20840591?lid=171459406,https://i3.ypcdn.com/blob/c523aacaaa5d4b2ac2149720bbb46ca76386899f_228x168_crop.jpg
,2,West Oaks Music Studio,(281) 531-5560,"8504A Highway 6 N, Houston, TX 77095",http://www.loftislearning.com,"Houston, TX",2024-01-23 20:47:26,Easton Commons,,,"https://www.yelp.com/biz/west-oaks-music-studio-houston-2, https://i.instagram.com/westoaksmusicstudio, https://foursquare.com/v/west-oaks-music-studio/5667abef498e0b6d57b23364, https://foursquare.com/V/WEST-OAKS-MUSIC-STUDIO/4F0643380AAF7A810207FE0A, https://www.yelp.com/biz/west-oaks-music-studio-houston","Music Instruction-Instrumental, Art Instruction & Schools, Educational Services, Music Instruction-Vocal, Music Schools, Music Stores, Musicians, Recording Service-Sound & Video, Schools",Regular Hours,Parking: Lot,"Mon - Fri: 4:30 pm - 9:00 pm, Sat: 9:00 am - 3:00 pm",40 Yrs Teaching Piano-Guitar-Violin & Voice Lessons.,"William H. Loftis and Judith Loftis are the owners of Loftis Learning Centers and West Oaks Publishing Company. Mr. Loftis has been teaching music since 1965. He has taught elementary, high school and college music in Michigan, Tennessee and Texas. Mr. Loftis completed his undergraduate degree in music at Wayne State University and his graduate study in music at George Peabody College (now Vanderbilt University). He is the author of The Loftis Method for Piano, Volumes 1 and 2, and The Loftis Method for Guitar, Volumes 1 and 2, as well as numerous duet books and arrangements. His Piano Races and Guitar Races games help students learn while having fun. Judith Loftis is Chief Executive Officer of West Oaks Publishing Company, which publishes music books and music related games. Mrs. Loftis completed her B.S. degree in business at Wayne State University. She is a piano teacher and amateur cellist. She and Mr. Loftis have been married for over 30 years. Their two sons are also professi onal musicians.",http://www.yellowpages.com/houston-tx/mip/west-oaks-music-studio-461696962?lid=1001132538150,
,3,Rhythm Room The,(713) 465-6122,"1410 Brittmoore Rd, Houston, TX 77043",http://rhythmroomrehearsalstudio.com,"Houston, TX",2024-01-23 20:47:26,"Northwest Houston, Spring Branch West",,,"https://www.yelp.com/biz/rhthym-room-rehearsal-studio-houston, https://foursquare.com/v/the-rhythm-room/4b42b95bf964a52044d925e3","Musical Instrument Rental, Audio-Visual Creative Services, Musical Instruments, Recording Service-Sound & Video, Studio Rental",,,,,,http://www.yellowpages.com/houston-tx/mip/rhythm-room-the-474261043?lid=1001880247858,https://i4.ypcdn.com/blob/412fc859f3a1725fba3c337f988abb65bc633777_228x168_crop.jpg
,5,Jovan & Company Music,(713) 816-5999,"Houston, TX 77083",http://www.rudyjovanmusic.com,"Houston, TX",2024-01-23 20:47:26,,mrmusic4ever@gmail.com,,,"Recording Service-Sound & Video, CD, DVD & Cassette Duplicating Services, Music Instruction-Vocal, Music Producers, Wedding Music & Entertainment",Regular Hours,"Parking: On Site, Free",Mon - Sun: 9:00 am - 9:00 pm,The Home of Song and Music Development,"Your Houston one stop reliable reputable song production, engineering and recording studio.  Special musical needs, demos, music for poetry, more. Discount for military personnel and senior citizens.  7 days by appointment!",http://www.yellowpages.com/houston-tx/mip/jovan-company-music-465279213,https://i1.ypcdn.com/blob/cf5ee97eeac1a0ba3a20b6656aab59555537e3db_228x168_crop.jpg
,6,Audiobob,(713) 278-7447,"800 Bering Dr Ste 103, Houston, TX 77057",http://audiobob.net,"Houston, TX",2024-01-23 20:47:26,"Westside, Great Uptown",info@audiobob.net,Fax:  (713) 278-7447,,"Recording Service-Sound & Video, Recording Studio Equipment",Regular Hours,"Parking: Lot, Free, Wheelchair Accessible: Yes","Mon - Fri: 8:30 am - 6:00 pm, Sat - Sun Closed",,,http://www.yellowpages.com/houston-tx/mip/audiobob-22375317,
,7,Southwest Recordings,(713) 681-7565,"920 Fisher St, Houston, TX 77018",https://www.allantonestudios.com,"Houston, TX",2024-01-23 20:47:26,"Oak Grove, North Houston, Oak Forest - Garden Oaks",,,,"Recording Service-Sound & Video, Studio Rental",,,,,,http://www.yellowpages.com/houston-tx/mip/southwest-recordings-17702327,https://i1.ypcdn.com/blob/a61bba30db09428e8ada5be906336cbb328b2d40_228x168_crop.jpg
,8,Dan Sessions Productions,(713) 863-0056,"930 Arlington St, Houston, TX 77008",http://dansessionsproductions.com,"Houston, TX",2024-01-23 20:47:26,"Central Houston, Greater Heights",,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/houston-tx/mip/dan-sessions-productions-464567982,
,9,"A.D SOUNDS,LLC",(281) 701-1210,"7324 Southwest Fwy Ste 910, Houston, TX 77074",,"Houston, TX",2024-01-23 20:47:26,"Sharpstown, Westside",,,,"Recording Service-Sound & Video, Lighting Systems & Equipment, Sound Systems & Equipment, Video Production Services",Regular Hours,,Mon - Sun: Open 24 Hours,"Sound,Lighting,Video Productions and rentals",,http://www.yellowpages.com/houston-tx/mip/a-d-sounds-llc-7214,
,10,Sound Works,(713) 960-8222,"7110 Gary St, Houston, TX 77055",http://www.christwebs.com,"Houston, TX",2024-01-23 20:47:26,"Shadyvilla, Northwest Houston, Spring Branch East, Afton Village",,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/houston-tx/mip/sound-works-466017578,
,11,LIS Recording,(713) 467-2500,"10214 Georgibelle Dr Ste 100, Houston, TX 77043",,"Houston, TX",2024-01-23 20:47:26,"Northwest Houston, Spring Branch West",aaron@celebritysoundstudios.com,MobilePhone:  (281) 468-5730,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/houston-tx/mip/lis-recording-6370628,
,12,Texas Loud,(832) 563-5217,"7931 Duffield Ln, Houston, TX 77071",,"Houston, TX",2024-01-23 20:47:26,,,Phone:  (713) 487-6464,,"Recording Service-Sound & Video, Audio-Visual Production Services, Music Producers",,,,,,http://www.yellowpages.com/houston-tx/mip/texas-loud-465100142,
,13,Nueva Vision Productions,(832) 483-3117,"Houston, TX 77076",,"Houston, TX",2024-01-23 20:47:26,,nuevavisionproductions@yahoo.com,,,"Recording Service-Sound & Video, Market Research & Analysis, Music Producers, Studio Rental",Regular Hours,,Mon - Sun: Open 24 Hours,,,http://www.yellowpages.com/houston-tx/mip/nueva-vision-productions-467917191,
,14,360 Recording Studio,(832) 598-7348,"11430 Bissonnet St, Houston, TX 77099",https://360recordingstudio.com,"Houston, TX",2024-01-23 20:47:26,"Alief, Westside",Mail@360recordingstudio.com,,,"Recording Service-Sound & Video, Recording Studio Equipment",Regular Hours,"Parking: Street, Lot",Mon - Sun: 10:00 am - 10:00 pm,,,http://www.yellowpages.com/houston-tx/mip/360-recording-studio-521260051,https://i2.ypcdn.com/blob/cae2aa58681725cdef0b49c2f2f50532c812de31_228x168_crop.jpg
,15,Sound Check Music Complex,(713) 396-2473,"5881 W 34th St, Houston, TX 77092",http://www.bandpracticerooms.com,"Houston, TX",2024-01-23 20:47:26,"Northwest Houston, Spring Branch East",BRANDON@BANDPRACTICEROOMS.com,Phone:  (281) 330-3162,,"Recording Service-Sound & Video, Music Producers, Record Labels",Regular Hours,"Parking: Lot, Free, Wheelchair Accessible: Yes",Mon - Sun: Open 24 Hours,,,http://www.yellowpages.com/houston-tx/mip/sound-check-music-complex-451048661,
,16,Eighth Note Productions,(713) 771-2263,"7320 Ashcroft Dr Ste 214, Houston, TX 77081",http://eighthnoteproductions.com,"Houston, TX",2024-01-23 20:47:26,"Southwest Houston, Gulfton",erwells@eighthnoteproductions.com,,,"Recording Service-Sound & Video, Studio Rental",,,,,,http://www.yellowpages.com/houston-tx/mip/eighth-note-productions-3074008,
,17,In the Jar Studios,(713) 447-2274,"1510 Quitman St, Houston, TX 77009",http://www.inthejarstudios.com,"Houston, TX",2024-01-23 20:47:26,"Northside Village, Central Houston",al_loya@inthejarstudios.com,,,Recording Service-Sound & Video,Regular Hours,Parking: Lot,"Mon - Fri: 10:00 am - 10:00 pm, Sat: 9:00 am - 11:00 pm, Sun Closed",For recording or live sound services all you need is in the jar.,"In the Jar Studios is a located near down town Houston, fully equipped for your next recording project.",http://www.yellowpages.com/houston-tx/mip/in-the-jar-studios-497778095,
,18,Julia and the Standards Studio,(917) 328-4880,"1529 Heights Blvd, Houston, TX 77008",https://www.juliaandthestandards.com?y_source=1_ndi0ota5mjytndyylwxvy2f0aw9ulndlynnpdgu=,"Houston, TX",2024-01-23 20:47:26,,,,,Recording Service-Sound & Video,,,,,"Julia and The Standards is the premier jazz band in the Houston area! We are available for many events, from public concerts to private events and even corporate parties. We also offer professional voice and music lessons at the Julia and The Standards Studio. Book online today!",http://www.yellowpages.com/houston-tx/mip/julia-and-the-standards-studio-567892019,
,19,VGN Bae Studios,(832) 982-1777,"7800 Amelia Rd, Houston, TX 77055",https://www.vgnbaestudios.com/service-page/audio-video-1hr-session-1,"Houston, TX",2024-01-23 20:47:26,,,,,"Recording Service-Sound & Video, Music Producers",Regular Hours,,Mon - Fri: 9:00 am - 5:00 pm,,"Boutique Studio Based In Houston, TX",http://www.yellowpages.com/houston-tx/mip/vgn-bae-studios-555396489,
,20,TrakkSounds Recording Studio,(832) 699-3522,"6347 Ashcroft Dr, Houston, TX 77081",http://www.trakksounds.com,"Houston, TX",2024-01-23 20:47:26,,,,,"Recording Service-Sound & Video, Music Producers",,,,,"TrakkSounds operates his own music recording studio within the legendary Imix Studios in Houston, TX. Studio time is available by booking a recording appointment on the contact page or emailing ineedatrakk@gmail.com   Clients include: Kevin Gates, Kendrick Lamar, Big Sean, Bun B, ASAP Rocky, ASAP Ferg, Z-Ro, Devin The Dude, Wiz Khalifa, Starlito, Sprite, NBA.com, Kirko Bangz, and many more.   Book a session today and find out why it is one of the top Houston recording studios.",http://www.yellowpages.com/houston-tx/mip/trakksounds-recording-studio-526644827,
,21,Visual Interactive Dynamics,(713) 339-4600,"8400 Westglen Dr, Houston, TX 77063",http://www.vidinc.com,"Houston, TX",2024-01-23 20:47:26,"Westpark Center, Westside, Woodlake - Briar Meadow",info@vidinc.com,,,Recording Service-Sound & Video,Regular Hours,Services: Audio-Visual Equipment Repair,Mon - Fri: 9:00 am - 5:30 pm,,,http://www.yellowpages.com/houston-tx/mip/visual-interactive-dynamics-21863216,
,22,PlayaMade Studios,(281) 673-6407,"8633 W Airport Blvd, Houston, TX 77071",https://pmestudios.acuityscheduling.com,"Houston, TX",2024-01-23 20:47:26,,PlayaMadeStudios@gmail.com,,,"Recording Service-Sound & Video, Record Labels",Appointment Only Hours,,"Mon - Sat 9:00 am - 2:00 am, Sun 1:00 pm - 2:00 am",,"Great rates, flexible schedule. Book online today using the website link .",http://www.yellowpages.com/houston-tx/mip/playamade-studios-538467347,
,23,Music Tek Studio LLC,(877) 545-8525,"1300 Bay Area Blvd, Houston, TX 77058",,"Houston, TX",2024-01-23 20:47:26,"Clear Lake City Industrial Park, Clear Lake",info@musictekstudiollc.com,,,Recording Service-Sound & Video,,,,,"""WHERE REAL SOUND IS MADE FOR EVERYONE""",http://www.yellowpages.com/houston-tx/mip/music-tek-studio-llc-541577530,
,24,"Drum Lessons - Houston, TX",(281) 333-0052,"2813 Lighthouse Dr, Houston, TX 77058",http://www.drum4u.com,"Houston, TX",2024-01-23 20:47:26,,pkush@drum4u.com,MobilePhone:  (713) 299-0345,,"Recording Service-Sound & Video, Music Instruction-Instrumental, Music Producers",Regular Hours,,"Mon - Thu: 2:00 pm - 9:00 pm, Fri Closed, Sat: 10:00 am - 5:00 pm, Sun Closed",Music should be in everyone's life.  We have fun while learning.,"My focus today is to continue to learn and play with others that share my excitement in creating music. Also to extend my experience to those that are motivated to become better drummers whether for fun or as a professional musician.  In my courses we study all styles of music and we have ""FUN"" while learning.   Beginning to Advanced students accepted.",http://www.yellowpages.com/houston-tx/mip/drum-lessons-houston-tx-503105166,
,25,Ace Labels,(713) 594-0372,"2121 Hepburn St, Houston, TX 77054",,"Houston, TX",2024-01-23 20:47:26,"Astrodome, Southwest Houston, Montreal Place Condominiums",,,,"Recording Service-Sound & Video, Recording Studio Equipment, Studio Rental",,,,,,http://www.yellowpages.com/houston-tx/mip/ace-labels-527620088,
,26,Edgewater Sound Recording Stu,(832) 500-4272,"3030 Edgewater Dr # 103, Houston, TX 77047",,"Houston, TX",2024-01-23 20:47:24,,,,,"Recording Service-Sound & Video, Recording Studio Equipment",,,,,,http://www.yellowpages.com/houston-tx/mip/edgewater-sound-recording-stu-522138537,
,27,Dan Workman Music,(713) 926-2544,"5626 Brock St, Houston, TX 77023",http://www.danworkman.com,"Houston, TX",2024-01-23 20:47:26,"Southeast Houston, Gulfgate - Pine Valley",dan@danworkman.com,Phone:  (817) 624-4420,,"Recording Service-Sound & Video, Studio Rental",Regular Hours,,Mon - Fri: 10:00 am - 5:00 pm,,,http://www.yellowpages.com/houston-tx/mip/dan-workman-music-10339523,https://i4.ypcdn.com/blob/28bd90db6c435e635e77d27afff5423eb6326902_228x168_crop.jpg
,28,Eternal Rock Cafe Rehearsal studios,(832) 971-7047,"4300 town plaza dr, Houston, TX 77045",http://eternalrc.wix.com/music-studio-mp,"Houston, TX",2024-01-23 20:47:27,,eternalrc@yahoo.com,MobilePhone:  (832) 971-7047,,"Recording Service-Sound & Video, Music Schools, Musicians, Studio Rental",Regular Hours,,Mon - Sun: Open 24 Hours,,,http://www.yellowpages.com/houston-tx/mip/eternal-rock-cafe-rehearsal-studios-495499707,https://i1.ypcdn.com/blob/a49439a8a2d7763ef494e059d5359a99f0567140_228x168_crop.jpg
,29,Canzion Group LP,(281) 873-5080,"16110 Kuykendahl Rd, Houston, TX 77068",,"Houston, TX",2024-01-23 20:47:27,,,,,"Recording Service-Sound & Video, Studio Rental",Regular Hours,,Mon - Fri: 9:00 am - 5:00 pm,,,http://www.yellowpages.com/houston-tx/mip/canzion-group-lp-525203120,
,30,Tha Enclave Recording Studios,(281) 645-4305,"324 Fm 1960 Rd, Houston, TX 77073",,"Houston, TX",2024-01-23 20:47:27,,,Phone:  (281) 784-2528,,"Recording Service-Sound & Video, Studio Rental",,,,,,http://www.yellowpages.com/houston-tx/mip/tha-enclave-recording-studios-545178866,
30,,Vista.Com,(832) 427-5009,"9824 Whithorn Dr, Houston, TX 77095",http://www.vistacomtx.com,"Houston, TX",2024-01-23 20:47:27,,marketing@vistacomtx.com,Phone:  (832) 427-5950 Phone:  (832) 427-6054 Phone:  (832) 427-5849 Phone:  (281) 656-8992,,"Recording Service-Sound & Video, Studio Rental",Regular Hours,,Mon - Fri: 8:00 am - 5:00 pm,,,http://www.yellowpages.com/houston-tx/mip/vista-com-519500791,
,2,"The Warehouse, Charles",(973) 961-7690,"571 Broad St, Newark, NJ 07102",,"Newark, NJ",2024-01-23 20:48:22,Newark Central Business District,,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/newark-nj/mip/the-warehouse-charles-502831791,
,3,Divine Dynasty Record Inc,(973) 732-1322,"481 Hawthorne Ave, Newark, NJ 07112",,"Newark, NJ",2024-01-23 20:48:23,Upper Clinton Hill,,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/newark-nj/mip/divine-dynasty-record-inc-504012220,
,4,The Brick Studio,(646) 801-4449,"414 Raymond Blvd, Newark, NJ 07105",,"Newark, NJ",2024-01-23 20:48:23,Newark Airport and Port Newark,,,,"Motion Picture Film Services, Photography & Videography, Recording Service-Sound & Video, Studio Rental",Regular Hours,,Mon - Sun: Open 24 Hours,,,http://www.yellowpages.com/newark-nj/mip/the-brick-studio-472050953,
,5,SoundWave Technologies,(973) 536-2555,"Newark, NJ 07104",,"Newark, NJ",2024-01-23 20:48:23,,info@soundwave-technologies.com,,,"Disc Jockeys, Computer Service & Repair-Business, Computers & Computer Equipment-Service & Repair, Recording Service-Sound & Video, Studio Rental",Regular Hours,,Mon - Sat: 9:00 am - 7:00 pm,,"SoundWave Technologies is a company based off of the combination of  Music, Technology and Lifestyle. In todays day and age a persons  lifestyle is built mainly around the type of phone someone has or the  kind of music someone listens to or the type of computer someone has  which can cause us to become very dependent. SoundWave Technologies was  created as a resource to help keep your technology running smoothly,  your music sounding great and to make the music entertainment of your  event the talk of the town. Our goal is to help our customers to receive  the best tech, music engineering and DJ entertainment services  available without creating a dent in your pocket. We will always try our  hardest to find the best price in any and all hardware needed to suit  your needs without all the gimmicks of our big box competitors.",http://www.yellowpages.com/newark-nj/mip/soundwave-technologies-462606625,
,6,"Biggs Recordings, Biggs Recordings",(973) 877-1900,"306 Bergen St, Newark, NJ 07103",,"Newark, NJ",2024-01-23 20:48:23,"West Side, Springfield - Belmont",,,,"Studio Rental, Recording Service-Sound & Video",,,,,,http://www.yellowpages.com/newark-nj/mip/biggs-recordings-biggs-recordings-496810447,
,7,JERSEY SOUND LAB,(201) 667-0007,"51 Clifton Avenue Suite #C312, Newark, NJ 07104",http://www.jerseysoundlab.com,"Newark, NJ",2024-01-23 20:48:23,Seventh Avenue,,Phone:  (973) 230-1784,,"Disc Jockeys, Meeting & Event Planning Services, Music Producers, Recording Service-Sound & Video, Wedding Music & Entertainment",Regular Hours,,"Mon - Fri: 11:00 am - 8:00 pm, Sat - Sun: 11:00 am - 6:00 pm",,,http://www.yellowpages.com/newark-nj/mip/jersey-sound-lab-503895162,
,8,"ARK ANGE ENTERTAINMENT, LLC",(678) 881-9119,"950 S Orange Ave Suite 186, Newark, NJ 07106",,"Newark, NJ",2024-01-23 20:48:23,Lower Vailsburg,info@ark-ange.com,Fax:  (973) 453-8284,,"Record Labels, Recording Service-Sound & Video, Sound System Consultants",,,,,,http://www.yellowpages.com/newark-nj/mip/ark-ange-entertainment-llc-475218030,
,9,Synista Alliance Productions,(201) 503-4973,"41 Oraton St, Newark, NJ 07104",,"Newark, NJ",2024-01-23 20:48:23,North Broadway,,,,"Music Producers, Record Labels, Recording Service-Sound & Video",,,,,,http://www.yellowpages.com/newark-nj/mip/synista-alliance-productions-451039133,
,10,Kash Kannon Studios,(973) 905-1107,"575 Nassau St, Orange, NJ 07050",https://soundcloud.com/kash-kannon-boyz-kkb,"Newark, NJ",2024-01-23 20:48:23,,kashkannonboyz@gmail.com,,,"Recording Service-Sound & Video, Music Producers, Studio Rental",Regular Hours,,Mon - Sun: Open 24 Hours,"""Where Magic is Made""","Kash Kannon Studios is owned by Recording Artist and Audio Engineer, Mac Grove.  Members of KashKannonBoyz :  Mac Grove - Audio Engineer, Record Producer, Songwriter Danny 3G - Record Producer, Audio Engineer, Songwriter JwetBoyz - Record Producer",http://www.yellowpages.com/orange-nj/mip/kash-kannon-studios-516342307,https://i4.ypcdn.com/blob/770ded6f7058354f4bd68ff3b76b38f185778559_228x168_crop.jpg
,11,Tiny Thunder Audio-Mastering Services,(908) 868-4436,"98 Burnett Ave, Maplewood, NJ 07040",https://tinythunderaudio.com,"Newark, NJ",2024-01-23 20:48:23,,,,,Recording Service-Sound & Video,Regular Hours,,Mon - Sun: Open 24 Hours,,"Quick, convenient and accessible, online mastering is the most effective way to get your music mastered and released in a professional manner. Whether you're planning an analog or digital release, the process is quite simple. Just upload your files and I'll take care of the rest. More importantly, I will communicate with you every step of the way to ensure that you are absolutely thrilled with the end result. It really is that simple!",http://www.yellowpages.com/maplewood-nj/mip/tiny-thunder-audio-mastering-services-548683578,
,12,Madd Bass Entertainment,(973) 672-9103,"15 Prospect St, East Orange, NJ 07017",,"Newark, NJ",2024-01-23 20:48:23,,,,,"Recording Service-Sound & Video, Recording Studio Equipment, Studio Rental",,,,,,http://www.yellowpages.com/east-orange-nj/mip/madd-bass-entertainment-9909004,
,13,Strong Hold Recording Studios,(862) 438-8126,"50 S Center St, Orange, NJ 07050",,"Newark, NJ",2024-01-23 20:48:23,,,Phone:  (973) 677-1595 Phone:  (862) 438-8347,,"Recording Service-Sound & Video, Studio Rental",,,,,,http://www.yellowpages.com/orange-nj/mip/strong-hold-recording-studios-480733903,
